id,name,kananame,category_id,prefectures_id,address,official_website
135,マリンワールド海の中道 海洋生態科学館,マリンワールドウミノナカミチ カイヨウセイタイカガクカン,2,40,福岡県福岡市東区大字西戸崎18-28,https://marine-world.jp/
136,西海国立公園 九十九島動植物園 森きらら,サイカイコクリツコウエン クジュウクシマドウショクブツエン モリキララ,1,42,長崎県佐世保市船越町2172,https://morikirara.jp/
137,長崎バイオパーク,ナガサキバイオパーク,1,42,長崎県西海市西彼町中山郷2291-1,http://www.biopark.co.jp/
138,西海国立公園 九十九島水族館 海きらら,サイカイコクリツコウエン クジュウクシマスイゾクカン ウミキララ,2,42,長崎県佐世保市鹿子前町1008,https://umikirara.jp/
139,長崎ペンギン水族館,ナガサキペンギンスイゾクカン,2,42,長崎県長崎市宿町3-16,https://penguin-aqua.jp/
140,熊本市 動植物園,クマモトシ ドウショクブツエン,1,43,熊本県熊本市東区健軍5-14-2,http://ezooko.jp/
141,九州自然動物公園 アフリカンサファリ,キュウシュウシゼンドウブツコウエン アフリカンサファリ,1,44,大分県宇佐市安心院町南畑2-1755-1,http://www.africansafari.co.jp/
142,大分マリーンパレス水族館 うみたまご,オオイタマリーンパレススイゾクカン ウミタマゴ,2,44,大分県大分市大字神崎字ウト3078-22,https://www.umitamago.jp/
143,宮崎市 フェニックス自然動物園,ミヤザキシ フェニックスシゼンドウブツエン,1,45,宮崎県宮崎市大字塩路字浜山3083-42,http://www.miyazaki-city-zoo.jp/
144,鹿児島市 平川動物公園,カゴシマシ ヒラカワドウブツコウエン,1,46,鹿児島県鹿児島市平川町5669-1,https://hirakawazoo.jp/
145,いおワールド かごしま水族館,イオワールド カゴシマスイゾクカン,2,46,鹿児島県鹿児島市本港新町3-1,http://ioworld.jp/
146,沖縄こどもの国,オキナワコドモノクニ,1,47,沖縄県沖縄市胡屋5-7-1,https://www.okzm.jp/
147,ネオパークオキナワ,ネオパークオキナワ,1,47,沖縄県名護市名護4607-41,https://www.neopark.co.jp/
148,めんそーれ 沖縄美ら海水族館,メンソーレ オキナワチュラウミスイゾクカン,2,47,沖縄県国頭郡本部町字石川424,https://churaumi.okinawa/
